Time,"Decision String","Job Id","Object Id","Job Type Name","Decision Data","Escalation Queue",Event,"Impression Id","Is From Supernova","Logger Extra Data","Logger Potential Error","Object Attributes","Piranha Job Type","Prev Queue Group Id","Prev Queue Group Name","Queue Group Id","Queue Group Name","Queue Name",Renderer,"Review Id","Review Type","Review Violation Type","Review Workflow Id","Review Workflow Name",Tags,"Thread Id","User Location","Video Container Type","Worker Type"
1555409475,null,285708759026902,2144882695596732,CROW_GENERIC_LABELING,"{""tags"":[""obs_sexual"",""rep_sexual"",""pil_sexual_partialnudity_highrisk"",""obs_sexual_blurredbodypart"",""comp_product_title"",""comp_product_image""]}",null,job_decision_success,0W2otUyoXtGJ4PUYm,0,allow_multiple_review:1:already_reviewed:0,-,fbtype:2288,null,null,null,382401612444908,BI_COMMERCE_MARKETPLACE_ENFORCEMENT,"[Commerce] [Marketplace] Proactive - Product",null,null,unknown,null,null,null,-,null,"WiPro, Cebu City",null,Outsource
1555409456,null,412488706204884,2629912487081420,CROW_GENERIC_LABELING,"{""tags"":[""obs_sexual"",""rep_sexual"",""pil_sexual_focus_lowrisk"",""obs_sexual_breast_focus"",""comp_product_title"",""comp_product_image""]}",null,job_decision_success,0LP0icLb7ijPpAKHH,0,allow_multiple_review:1:already_reviewed:0,-,fbtype:2288,null,null,null,382401612444908,BI_COMMERCE_MARKETPLACE_ENFORCEMENT,"[Commerce] [Marketplace] Proactive - Product",null,null,unknown,null,null,null,-,null,"WiPro, Cebu City",null,Outsource
1555409403,null,2446283378933741,2788815184523268,CROW_GENERIC_LABELING,"{""tags"":[""obs_sexual"",""rep_sexual"",""pil_sexual_action_highrisk"",""obs_sexual_removingclothes"",""comp_product_image""]}",null,job_decision_success,0xtNHZlyfxbDty2Z3,0,allow_multiple_review:1:already_reviewed:0,-,fbtype:2288,null,null,null,382401612444908,BI_COMMERCE_MARKETPLACE_ENFORCEMENT,"[Commerce] [Marketplace] Proactive - Product",null,null,unknown,null,null,null,-,null,"WiPro, Cebu City",null,Outsource
1555409355,null,2038466329614162,2028999680560189,CROW_GENERIC_LABELING,"{""tags"":[""obs_sexual"",""rep_sexual"",""pil_sexual_partialnudity_highrisk"",""obs_sexual_thong_butt"",""comp_product_title"",""comp_product_image""]}",null,job_decision_success,0HMuVNwbpvTHYm5aE,0,allow_multiple_review:1:already_reviewed:0,-,fbtype:2288,null,null,null,382401612444908,BI_COMMERCE_MARKETPLACE_ENFORCEMENT,"[Commerce] [Marketplace] Proactive - Product",null,null,unknown,null,null,null,-,null,"WiPro, Cebu City",null,Outsource
1555409349,null,321422615241964,3176833895676138,CROW_GENERIC_LABELING,"{""tags"":[""obs_sexual"",""rep_sexual"",""pil_sexual_focus_lowrisk"",""obs_sexual_breast_focus"",""comp_product_title"",""comp_product_image""]}",null,job_decision_success,0yPEWt3ugkhooGciQ,0,allow_multiple_review:1:already_reviewed:0,-,fbtype:2288,null,null,null,382401612444908,BI_COMMERCE_MARKETPLACE_ENFORCEMENT,"[Commerce] [Marketplace] Proactive - Product",null,null,unknown,null,null,null,-,null,"WiPro, Cebu City",null,Outsource
1555409312,null,1292448634226216,2272214022839874,CROW_GENERIC_LABELING,"{""tags"":[""obs_sexual"",""rep_sexual"",""pil_sexual_focus_lowrisk"",""obs_sexual_breast_focus"",""comp_product_title"",""comp_product_image""]}",null,job_decision_success,0OB0RrWm4UBUhVqk0,0,allow_multiple_review:1:already_reviewed:0,-,fbtype:2288,null,null,null,382401612444908,BI_COMMERCE_MARKETPLACE_ENFORCEMENT,"[Commerce] [Marketplace] Proactive - Product",null,null,unknown,null,null,null,-,null,"WiPro, Cebu City",null,Outsource
1555409285,null,653729491752757,1918365778268036,CROW_GENERIC_LABELING,"{""tags"":[""obs_sexual"",""rep_sexual"",""pil_sexual_focus_lowrisk"",""obs_sexual_breast_focus"",""comp_product_image""]}",null,job_decision_success,0AO8m0rcOsA9w0sOC,0,allow_multiple_review:1:already_reviewed:0,-,fbtype:2288,null,null,null,382401612444908,BI_COMMERCE_MARKETPLACE_ENFORCEMENT,"[Commerce] [Marketplace] Proactive - Product",null,null,unknown,null,null,null,-,null,"WiPro, Cebu City",null,Outsource
1555409276,null,339625653424582,2320585831295759,CROW_GENERIC_LABELING,"{""tags"":[""obs_sexual"",""COMP_FLAG_SUITABLE_FOR_ALL"",""obs_nudity_art_incidental"",""comp_product_title"",""comp_product_image""]}",null,job_decision_success,0LOLKBYhKMQilrN70,0,allow_multiple_review:1:already_reviewed:0,-,fbtype:2288,null,null,null,382401612444908,BI_COMMERCE_MARKETPLACE_ENFORCEMENT,"[Commerce] [Marketplace] Proactive - Product",null,null,unknown,null,null,null,-,null,"Cognizant, Hyderabad",null,Outsource
1555409173,null,357670155104768,1999926960136417,CROW_GENERIC_LABELING,"{""tags"":[""obs_sexual"",""COMP_FLAG_SUITABLE_FOR_ALL"",""obs_nudity_art_incidental"",""comp_product_image""]}",null,job_decision_success,0yT995OjvEnSFlAps,0,allow_multiple_review:1:already_reviewed:0,-,fbtype:2288,null,null,null,382401612444908,BI_COMMERCE_MARKETPLACE_ENFORCEMENT,"[Commerce] [Marketplace] Proactive - Product",null,null,unknown,null,null,null,-,null,"WiPro, Cebu City",null,Outsource
1555409139,null,438483796924571,1733273060038264,CROW_GENERIC_LABELING,"{""tags"":[""obs_sexual"",""rep_sexual"",""pil_sexual_focus_lowrisk"",""obs_sexual_breast_focus"",""comp_product_image""]}",null,job_decision_success,0lWGEX5j5mz2JeKIA,0,allow_multiple_review:1:already_reviewed:0,-,fbtype:2288,null,null,null,382401612444908,BI_COMMERCE_MARKETPLACE_ENFORCEMENT,"[Commerce] [Marketplace] Proactive - Product",null,null,unknown,null,null,null,-,null,"Cognizant, Hyderabad",null,Outsource
1555409054,null,322463048416036,2326455814066199,CROW_GENERIC_LABELING,"{""tags"":[""obs_sexual"",""rep_sexual"",""pil_sexual_partialnudity_highrisk"",""obs_sexual_blurredbodypart"",""comp_product_title"",""comp_product_image""]}",null,job_decision_success,02Fvud8LPm7b4QaDM,0,allow_multiple_review:1:already_reviewed:0,-,fbtype:2288,null,null,null,382401612444908,BI_COMMERCE_MARKETPLACE_ENFORCEMENT,"[Commerce] [Marketplace] Proactive - Product",null,null,unknown,null,null,null,-,null,"WiPro, Cebu City",null,Outsource
1555409053,null,459461158128848,2275087889179218,CROW_GENERIC_LABELING,"{""tags"":[""obs_sexual"",""rep_sexual"",""pil_sexual_partialnudity_highrisk"",""obs_sexual_blurredbodypart"",""comp_product_title"",""comp_product_image""]}",null,job_decision_success,0Nem7RwsNpY6jPMQT,0,allow_multiple_review:1:already_reviewed:0,-,fbtype:2288,null,null,null,382401612444908,BI_COMMERCE_MARKETPLACE_ENFORCEMENT,"[Commerce] [Marketplace] Proactive - Product",null,null,unknown,null,null,null,-,null,"WiPro, Cebu City",null,Outsource
1555409029,null,576986469482181,2321757567888298,CROW_GENERIC_LABELING,"{""tags"":[""obs_sexual"",""rep_sexual"",""pil_sexual_focus_lowrisk"",""obs_sexual_pelvis_focus"",""comp_product_title"",""comp_product_image""]}",null,job_decision_success,03zqMMbs3BPvbYtx3,0,allow_multiple_review:1:already_reviewed:0,-,fbtype:2288,null,null,null,382401612444908,BI_COMMERCE_MARKETPLACE_ENFORCEMENT,"[Commerce] [Marketplace] Proactive - Product",null,null,unknown,null,null,null,-,null,"Cognizant, Hyderabad",null,Outsource
1555409025,null,2099025600205189,2423020784409897,CROW_GENERIC_LABELING,"{""tags"":[""obs_sexual"",""rep_sexual"",""pil_sexual_focus_lowrisk"",""obs_sexual_breast_focus"",""comp_product_title"",""comp_product_image""]}",null,job_decision_success,0vH79FtERVjGdKayg,0,allow_multiple_review:1:already_reviewed:0,-,fbtype:2288,null,null,null,382401612444908,BI_COMMERCE_MARKETPLACE_ENFORCEMENT,"[Commerce] [Marketplace] Proactive - Product",null,null,unknown,null,null,null,-,null,"WiPro, Cebu City",null,Outsource
